date,song,artist,rank,last_week,peak_position,weeks_in_charts,image_url
2000-01-05,Smooth,Santana Featuring Rob Thomas,1,1,1,24,#
2000-01-05,Back At One,Brian McKnight,2,2,2,20,https://charts-static.billboard.com/img/1999/08/brian-mcknight-uld-backatone-nl9-180x180.jpg
2000-01-05,I Wanna Love You Forever,Jessica Simpson,3,3,3,13,#
2000-01-05,My Love Is Your Love,Whitney Houston,4,4,4,19,#
2000-01-05,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS| EVE & Q-Tip",5,7,5,7,#
2000-01-05,I Knew I Loved You,Savage Garden,6,5,4,12,#
2000-01-05,Auld Lang Syne,Kenny G,7,54,7,3,#
2000-01-05,I Need To Know,Marc Anthony,8,6,3,18,#
2000-01-05,Bring It All To Me,Blaque,9,9,9,12,#
2000-01-05,U Know What's Up,Donell Jones,10,8,7,16,#
2000-01-05,What A Girl Wants,Christina Aguilera,11,11,11,7,#
2000-01-05,Girl On TV,LFO,12,10,10,8,#
2000-01-05,Blue (Da Ba Dee),Eiffel 65,13,13,13,5,https://charts-static.billboard.com/img/1999/12/eiffel-65-zmu-bluedabadee-dn0-180x180.jpg
2000-01-05,24/7,Kevon Edmonds,14,12,10,10,#
2000-01-05,He Can't Love U,Jagged Edge,15,15,15,5,#
2000-01-05,Then The Morning Comes,Smash Mouth,16,14,14,11,https://charts-static.billboard.com/img/1999/10/smash-mouth-0k0-thenthemorningcomes-949-180x180.jpg
2000-01-05,That's The Way It Is,Celine Dion,17,17,17,9,#
2000-01-05,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,18,18,18,4,#
2000-01-05,Waiting For Tonight,Jennifer Lopez,19,16,8,13,https://charts-static.billboard.com/img/1999/09/jennifer-lopez-0nn-waitingfortonight-dra-180x180.jpg
2000-01-05,Get It On Tonite,Montell Jordan,20,21,20,12,#
2000-01-05,Don't Say You Love Me,M2M,21,30,21,8,#
2000-01-05,Dancin',Guy,22,19,19,4,#
2000-01-05,Stay The Night,IMx,23,29,23,14,#
2000-01-05,Meet Virginia,Train,24,24,21,14,https://charts-static.billboard.com/img/1999/04/train-z35-106x106.jpg
2000-01-05,Unpretty,TLC,25,25,1,29,#
2000-01-05,Learn To Fly,Foo Fighters,26,22,22,13,https://charts-static.billboard.com/img/1999/10/foo-fighters-a9c-learntofly-cn2-180x180.jpg
2000-01-05,Steal My Sunshine,Len,27,20,9,22,https://charts-static.billboard.com/img/1999/05/len-1n7-stealmysunshine-f8d-180x180.jpg
2000-01-05,Where My Girls At?,702,28,31,4,37,#
2000-01-05,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,29,27,19,27,https://charts-static.billboard.com/img/1999/05/juvenile-z23-backthatthangup-ydh-180x180.jpg
2000-01-05,Big Deal,LeAnn Rimes,30,23,23,13,#
