A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda,G�nero canci�n
2024,Song Of The Year,Shaboozey,A Bar Song (Tipsy),False,H,Country
2024,Song Of The Year,Billie Eilish,BIRDS OF A FEATHER,False,M,Pop
2024,Song Of The Year,Bruno Mars featuring Lady Gaga,Die With A Smile,False,MIXTO,Pop
2024,Song Of The Year,Taylor Swift,Fortnight,False,M,Pop
2024,Song Of The Year,Chappell Roan,Good Luck Babe!,False,M,Pop
2024,Song Of The Year,Sabrina Carpenter,Please Please Please,False,M,Pop
2024,Song Of The Year,Beyonc�,TEXAS HOLD 'EM,False,M,Pop Country
2024,Song Of The Year,Kendrick Lamar,Not Like Us,True,H,Rap
2023,Song Of The Year,Lana del Rey,A&W,False,M,Alternativo
2023,Song Of The Year,Taylor Swift,Anti-Hero,False,M,Pop
2023,Song Of The Year,Jon Batiste,Butterfly,False,H,R&B
2023,Song Of The Year,Dua Lipa,Dance The Night (From Barbie The Album),False,M,Pop
2023,Song Of The Year,Miley Cyrus,Flowers,False,M,Pop
2023,Song Of The Year,SZA,Kill Bill,False,M,R&B
2023,Song Of The Year,Olivia Rodrigo,Vampire,False,M,Pop
2023,Song Of The Year,Billie Eilish,What Was I Made For? [From The Motion Picture Barbie],True,M,Pop
2022,Song Of The Year,Bonnie Raitt,Just Like That,True,M,Blues
2022,Song Of The Year,Kendrick Lamar,The Heart Part 5,False,H,Rap
2022,Song Of The Year,DJ Khaled,GOD DID,False,H,Rap
2022,Song Of The Year,Adele,Easy On Me,False,M,Pop
2022,Song Of The Year,Beyonc�,BREAK MY SOUL,False,M,House/electr�nica
2022,Song Of The Year,Taylor Swift,All Too Well (10 Minute Version),False,M,Pop
2022,Song Of The Year,Lizzo,About Damn Time,False,M,Pop
2022,Song Of The Year,Steve Lacy,Bad Habit,False,H,R&B
2022,Song Of The Year,Harry Styles,As It Was,False,H,Pop
2022,Song Of The Year,Gayle,abcdefu,False,M,Rock Pop
2021,Song Of The Year,Alicia Keys & Brandi Carlile,A Beautiful Noise,False,M,R&B
2021,Song Of The Year,Ed Sheeran,Bad Habits,False,H,Pop
2021,Song Of The Year,Silk Sonic,Leave The Door Open,True,H,R&B
2021,Song Of The Year,Brandi Carlile,Right On Time,False,M,Folk
2021,Song Of The Year,Justin Bieber,Peaches,False,H,Pop
2021,Song Of The Year,Lil Nas X,Montero (Call Me By Your Name),False,H,Pop
2021,Song Of The Year,Doja Cat featuring SZA,Kiss Me More,False,M,Pop Rap
2021,Song Of The Year,Billie Eilish,Happier Than Ever,False,M,Pop
2021,Song Of The Year,H.E.R.,Fight For You,False,M,R&B
2021,Song Of The Year,Olivia Rodrigo,drivers license,False,M,Pop
2020,Song Of The Year,Dua Lipa,Don't Start Now,False,M,Pop
2020,Song Of The Year,Billie Eilish,Everything I Wanted,False,M,Pop
2020,Song Of The Year,JP Saxe,If The World Was Ending,False,H,Pop
2020,Song Of The Year,H.E.R.,I Can't Breathe,True,M,R&B
2020,Song Of The Year,Taylor Swift,Cardigan,False,M,Pop
2020,Song Of The Year,Post Malone,Circles,False,H,Pop Rock
2020,Song Of The Year,Beyonc�,Black Parade,False,M,Pop
2020,Song Of The Year,Roddy Rich,The Box,False,H,Rap
2019,Song Of The Year,Lizzo,Truth Hurts,False,M,Pop
2019,Song Of The Year,H.E.R.,Hard Place,False,M,R&B
2019,Song Of The Year,Taylor Swift,Lover,False,M,Pop
2019,Song Of The Year,Lana del Rey,Norman F***ing Rockwell,False,M,Alternativo
2019,Song Of The Year,Lewis Capaldi,Someone You Loved,False,H,Pop
2019,Song Of The Year,Lady Gaga,Always Remember Us This Way,False,M,Pop
2019,Song Of The Year,Tanya Tucker,Bring My Flowers Now,False,M,Country
2019,Song Of The Year,Billie Eilish,Bad Guy,True,M,Pop
2018,Song Of The Year,Shawn Mendes,In My Blood,False,H,Pop
2018,Song Of The Year,Kendrick Lamar featuring SZA,All The Stars,False,MIXTO,R&B
2018,Song Of The Year,Ella Mai,Boo'd Up,False,M,R&B
2018,Song Of The Year,Zedd featuting Marren Morris & Grey,The Middle,False,MIXTO,Pop
2018,Song Of The Year,Lady Gaga,Shallow,False,M,Pop
2018,Song Of The Year,Drake,God's Plan,False,H,Rap
2018,Song Of The Year,Childish Gambino,This Is America,True,H,Rap
2018,Song Of The Year,Brandi Carlile,The Joke,False,M,Americana
2017,Song Of The Year,Bruno Mars,That's What I Like,True,H,R&B
2017,Song Of The Year,Logic featuring Alessia Cara,1-800-273-8255,False,MIXTO,Rap
2017,Song Of The Year,Julia Michaels,Issues,False,M,Pop
2017,Song Of The Year,Jay - Z,4:44,False,H,Rap
2017,Song Of The Year,Luis Fonsi & Daddy Yankee featuring Justin Bieber,Despacito,False,H,Latin Pop
2016,Song Of The Year,Lukas Graham,7 Years,False,H,Pop
2016,Song Of The Year,Adele,Hello,True,M,Pop
2016,Song Of The Year,Beyonc�,Formation,False,M,Trap
2016,Song Of The Year,Mike Posner,I Took A Pill In Ibiza,False,H,Folk
2016,Song Of The Year,Justin Bieber,Love Yourself,False,H,Pop
2015,Song Of The Year,Taylor Swift,Blank Space,False,M,Pop
2015,Song Of The Year,Little Big Town,Girl Crush,False,MIXTO,Country
2015,Song Of The Year,Wiz Khalifa featuring Charlie Puth,See You Again,False,H,Rap
2015,Song Of The Year,Ed Sheeran,Thinking Out Loud,True,H,Pop
2015,Song Of The Year,Kendrick Lamar,Alright,False,H,Rap
2014,Song Of The Year,Hozier,Take Me To Church,False,H,Alternativo
2014,Song Of The Year,Sam Smith,Stay With Me (Darkchild Version),True,H,Pop
2014,Song Of The Year,Meghan Trainor,All About That Bass,False,M,Pop
2014,Song Of The Year,SIA,Chandelier,False,M,Pop
2014,Song Of The Year,Taylor Swift,Shake It Off,False,M,Pop
2013,Song Of The Year,Lorde,Royals,True,M,Alternativo
2013,Song Of The Year,Macklemore & Ryan Lewis featuring Mary Lambert,Same Love,False,MIXTO,Rap
2013,Song Of The Year,Katy Perry,Roar,False,M,Pop
2013,Song Of The Year,Bruno Mars,Locked Out Of Heaven,False,H,Pop
2013,Song Of The Year,P!nk featuring Nate Ruess,Just Give Me A Reason,False,MIXTO,Pop
2012,Song Of The Year,Miguel,Adorn,False,H,R&B
2012,Song Of The Year,Ed Sheeran,The A Team,False,H,Folk
2012,Song Of The Year,FUN,We Are Young,True,H,Pop
