A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda,G�nero canci�n
2024,Record Of The Year,The Beatles,Now And Then,False,H,Rock
2024,Record Of The Year,Beyonc�,TEXAS HOLD 'EM,False,M,Country Pop
2024,Record Of The Year,Sabrina Carpenter,Espresso,False,M,Pop
2024,Record Of The Year,Charli xcx,360,False,M,Dance Pop
2024,Record Of The Year,Billie Eilish,BIRDS OF A FEATHER,False,M,Pop
2024,Record Of The Year,Chappell Roan,Good Luck, Babe!,False,M,Pop
2024,Record Of The Year,Taylor Swift,Fortnight,False,M,Pop
2024,Record Of The Year,Kendrick Lamar,Not Like Us,True,H,Rap
2023,Record Of The Year,Taylor Swift,Anti-Hero,False,M,Pop
2023,Record Of The Year,SZA,Kill Bill,False,M,R&B
2023,Record Of The Year,Miley Cyrus,Flowers,True,M,Pop
2023,Record Of The Year,Jon Batiste,Worship,False,H,R&B
2023,Record Of The Year,boygenius,Not Strong Enough,False,M,Alternativo
2023,Record Of The Year,Billie Eilish,What Was I Made For? [From The Motion Picture Barbie],False,M,Pop
2023,Record Of The Year,Victoria Mon�t,On My Mama,False,M,R&B
2023,Record Of The Year,Olivia Rodrigo,vampire,False,M,Pop
2022,Record Of The Year,Kendrick Lamar,The Heart Part 5,False,H,Rap
2022,Record Of The Year,Steve Lacy,Bad Habit,False,H,R&B
2022,Record Of The Year,Doja Cat,Woman,False,M,Pop Rap
2022,Record Of The Year,Brandi Carlile,You And Me On The Rock,False,M,Americana
2022,Record Of The Year,Mary J. Blige ,Good Morning Gorgeous,False,M,R&B
2022,Record Of The Year,Beyonc�,BREAK MY SOUL,False,M,House/electr�nica
2022,Record Of The Year,Adele,Easy On Me,False,M,Pop
2022,Record Of The Year,ABBA,Don't Shut Me Down,False,MIXTO,Pop
2022,Record Of The Year,Lizzo,About Damn Time,True,M,Pop
2022,Record Of The Year,Harry Styles,As It Was,False,H,Pop
2021,Record Of The Year,Lil Nas X,Montero (Call Me By Your Name),False,H,Pop
2021,Record Of The Year,Brandi Carlile,Right On Time,False,M,Folk
2021,Record Of The Year,Justin Bieber,Peaches,False,H,Pop
2021,Record Of The Year,Lady Gaga & Tony Bennett,I Get A Kick Out Of You,False,MIXTO,Jazz
2021,Record Of The Year,Jon Batiste ,Freedom,False,H,R&B
2021,Record Of The Year,ABBA,I Still Have Faith In You,False,MIXTO,Pop
2021,Record Of The Year,Billie Eilish,Happier Than Ever,False,M,Pop
2021,Record Of The Year,Doja Cat,Kiss Me More,False,M,Pop Rap
2021,Record Of The Year,Silk Sonic,Leave The Door Open,True,H,R&B
2021,Record Of The Year,Olivia Rodrigo,drivers license,False,M,Pop
2020,Record Of The Year,Black Pumas,Colors,False,H,Blues
2020,Record Of The Year,Billie Eilish,Everything I Wanted,True,M,Pop
2020,Record Of The Year,Dua Lipa,Don't Start Now,False,M,Pop
2020,Record Of The Year,Post Malone,Circles,False,H,Pop Rock
2020,Record Of The Year,Megan Thee Stallion Featuring Beyonc�,Savage,False,M,Rap
2020,Record Of The Year,DaBaby,Rockstar,False,H,Rap
2020,Record Of The Year,Doja Cat,Say So,False,M,Pop Rap
2020,Record Of The Year,Beyonc�,Black Parade,False,M,Pop
2019,Record Of The Year,Bon Iver,Hey, Ma,False,H,Folk
2019,Record Of The Year,Ariana Grande,7 rings,False,M,Pop
2019,Record Of The Year,Khalid,Talk,False,H,R&B
2019,Record Of The Year,Lil Nas X,Old Town Road,False,H,Country Pop
2019,Record Of The Year,Lizzo,Truth Hurts,False,M,Pop
2019,Record Of The Year,Post Malone,Sunflower,False,H,Rap
2019,Record Of The Year,H.E.R.,Hard Place,False,M,R&B
2019,Record Of The Year,Billie Eilish,Bad Guy,True,M,Pop
2018,Record Of The Year,Drake,God's Plan,False,H,Rap
2018,Record Of The Year,Lady Gaga & Bradley Cooper,Shallow,False,MIXTO,Pop
2018,Record Of The Year,Brandi Carlile,The Joke,False,M,Americana
2018,Record Of The Year,Kendrick Lamar & SZA,All The Stars,False,MIXTO,R&B
2018,Record Of The Year,Cardi B, Bad Bunny & J Balvin,I Like It,False,MIXTO,Rap
2018,Record Of The Year,Post Malone,Rockstar,False,H,Rap
2018,Record Of The Year,Zedd, Maren Morris & Grey,The Middle,False,MIXTO,Pop
2018,Record Of The Year,Childish Gambino,This Is America,True,H,Rap
2017,Record Of The Year,Bruno Mars,24K Magic,True,H,R&B
2017,Record Of The Year,Kendrick Lamar,HUMBLE.,False,H,Rap
2017,Record Of The Year,Jay-Z,The Story Of O.J.,False,H,Rap
2017,Record Of The Year,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,False,H,Latin Pop
2017,Record Of The Year,Childish Gambino,Redbone,False,H,R&B
2016,Record Of The Year,Twenty One Pilots,Stressed Out,False,H,Alternativo
2016,Record Of The Year,Adele,Hello,True,M,Pop
2016,Record Of The Year,Rihanna Featuring Drake,Work,False,MIXTO,Rap
2016,Record Of The Year,Lukas Graham,7 Years,False,H,Pop
2016,Record Of The Year,Beyonc�,Formation,False,M,Trap
