A�o,Categor�a,Artista,Ganador,G�nero del artista/banda
2024,Best New Artist,Shaboozey,False,H
2024,Best New Artist,Teddy Swims,False,H
2024,Best New Artist,Chappell Roan,True,M
2024,Best New Artist,Benson Boone,False,H
2024,Best New Artist,Sabrina Carpenter,False,M
2024,Best New Artist,Doechii,False,M
2024,Best New Artist,Khruangbin,False,MIXTO
2024,Best New Artist,RAYE,False,M
2023,Best New Artist,Victoria Mon�t,True,M
2023,Best New Artist,Gracie Abrams,False,M
2023,Best New Artist,Fred again..,False,H
2023,Best New Artist,Ice Spice,False,M
2023,Best New Artist,Jelly Roll,False,H
2023,Best New Artist,Noah Kahan,False,H
2023,Best New Artist,The War And Treaty,False,MIXTO
2023,Best New Artist,Coco Jones,False,M
2022,Best New Artist,Anitta,False,M
2022,Best New Artist,Omar Apollo,False,H
2022,Best New Artist,DOMi & JD Beck,False,MIXTO
2022,Best New Artist,Muni Long,False,M
2022,Best New Artist,Latto,False,M
2022,Best New Artist,M�neskin,False,MIXTO
2022,Best New Artist,Samara Joy,True,M
2022,Best New Artist,Wet Leg,False,M
2022,Best New Artist,Molly Tuttle,False,M
2022,Best New Artist,Tobe Nwigwe,False,H
2021,Best New Artist,Arlo Parks,False,M
2021,Best New Artist,The Kid LAROI,False,H
2021,Best New Artist,Japanese Breakfast,False,M
2021,Best New Artist,Glass Animals,False,H
2021,Best New Artist,FINNEAS,False,H
2021,Best New Artist,Arooj Aftab,False,M
2021,Best New Artist,Baby Keem,False,H
2021,Best New Artist,Jimmie Allen,False,H
2021,Best New Artist,Olivia Rodrigo,True,M
2021,Best New Artist,Saweetie,False,M
2020,Best New Artist,Noah Cyrus,False,M
2020,Best New Artist,D Smoke,False,H
2020,Best New Artist,Kaytranada,False,H
2020,Best New Artist,Doja Cat,False,M
2020,Best New Artist,Ingrid Andress,False,M
2020,Best New Artist,Phoebe Bridgers,False,M
2020,Best New Artist,Chika,False,M
2020,Best New Artist,Megan Thee Stallion,True,M
2019,Best New Artist,Black Pumas,False,H
2019,Best New Artist,Lil Nas X,False,H
2019,Best New Artist,Lizzo,False,M
2019,Best New Artist,Maggie Rogers,False,M
2019,Best New Artist,ROSAL�A,False,M
2019,Best New Artist,Tank And The Bangas,False,MIXTO
2019,Best New Artist,Yola,False,M
2019,Best New Artist,Billie Eilish,True,M
2018,Best New Artist,Chloe x Halle,False,M
2018,Best New Artist,Luke Combs,False,H
2018,Best New Artist,Greta Van Fleet,False,H
2018,Best New Artist,H.E.R.,False,M
2018,Best New Artist,Margo Price,False,M
2018,Best New Artist,Bebe Rexha,False,M
2018,Best New Artist,Dua Lipa,True,M
2018,Best New Artist,Jorja Smith,False,M
2017,Best New Artist,SZA,False,M
2017,Best New Artist,Julia Michaels,False,M
2017,Best New Artist,Lil Uzi Vert,False,H
2017,Best New Artist,Khalid,False,H
2017,Best New Artist,Alessia Cara,True,M
2016,Best New Artist,Maren Morris,False,M
2016,Best New Artist,Anderson .Paak,False,H
2016,Best New Artist,Chance The Rapper,True,H
2016,Best New Artist,Kelsea Ballerini,False,M
2016,Best New Artist,The Chainsmokers,False,H
2015,Best New Artist,Courtney Barnett,False,M
2015,Best New Artist,James Bay,False,H
2015,Best New Artist,Sam Hunt,False,H
2015,Best New Artist,Tori Kelly,False,M
2015,Best New Artist,Meghan Trainor,True,M
2014,Best New Artist,Sam Smith,True,H
2014,Best New Artist,Iggy Azalea,False,M
2014,Best New Artist,Bastille,False,H
2014,Best New Artist,Brandy Clark,False,M
2014,Best New Artist,Haim,False,M
2013,Best New Artist,Macklemore & Ryan Lewis,True,H
2013,Best New Artist,Ed Sheeran,False,H
2013,Best New Artist,Kacey Musgraves,False,M
2013,Best New Artist,Kendrick Lamar,False,H
2013,Best New Artist,James Blake,False,H
2012,Best New Artist,Alabama Shakes,False,MIXTO
2012,Best New Artist,Hunter Hayes,False,H
2012,Best New Artist,Fun.,True,H
2012,Best New Artist,The Lumineers,False,H
2012,Best New Artist,Frank Ocean,False,H
2011,Best New Artist,The Band Perry,False,MIXTO
2011,Best New Artist,J. Cole,False,H
2011,Best New Artist,Nicki Minaj,False,M
2011,Best New Artist,Skrillex,False,H
2011,Best New Artist,Bon Iver,True,H
2010,Best New Artist,Florence & The Machine,False,M
2010,Best New Artist,Mumford & Sons,False,H
