A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda
2024,Best Pop Vocal Album,Bilie Eilish,HIT ME HARD AND SOFT,False,M
2024,Best Pop Vocal Album,Ariana Grande,eternal sunshine,False,M
2024,Best Pop Vocal Album,Chappell Roan,The Rise And Fall Of A Midwest Princess,False,M
2024,Best Pop Vocal Album,Taylor Swift,THE TORTURED POETS DEPARTMENT,False,M
2024,Best Pop Vocal Album,Sabrina Carpenter,Short n' Sweet,True,M
2023,Best Pop Vocal Album,Kelly Clarkson,Chemistry,False,M
2023,Best Pop Vocal Album,Miley Cyrus,Endless Summer Vacation,False,M
2023,Best Pop Vocal Album,Olivia Rodrigo,GUTS,False,M
2023,Best Pop Vocal Album,Ed Sheeran,- (Subtract),False,H
2023,Best Pop Vocal Album,Taylor Swift,Midnights,True,M
2022,Best Pop Vocal Album,Lizzo,Special,False,M
2022,Best Pop Vocal Album,Coldplay,Music Of The Spheres,False,H
2022,Best Pop Vocal Album,Harry Styles,Harry's House,True,H
2022,Best Pop Vocal Album,Adele,30,False,M
2022,Best Pop Vocal Album,ABBA,Voyage,False,MIXTO
2021,Best Pop Vocal Album,Billie Eilish,Happier Than Ever,False,M
2021,Best Pop Vocal Album,Doja Cat,Planet Her (Deluxe),False,M
2021,Best Pop Vocal Album,Justin Bieber,Justice (Triple Chucks Deluxe),False,H
2021,Best Pop Vocal Album,Olivia Rodrigo,Sour,True,M
2021,Best Pop Vocal Album,Ariana Grande,Positions,False,M
2020,Best Pop Vocal Album,Justin Bieber,Changes,False,H
2020,Best Pop Vocal Album,Lady Gaga,Chromatica,False,M
2020,Best Pop Vocal Album,Harry Styles,Fine Line,False,H
2020,Best Pop Vocal Album,Taylor Swift,Folklore,False,M
2020,Best Pop Vocal Album,Dua Lipa,Future Nostalgia,True,M
2019,Best Pop Vocal Album,Billie Eilish,When We All Fall Asleep Where Do We Go?,True,M
2019,Best Pop Vocal Album,Beyonc�,The Lion King: The Gift,False,M
2019,Best Pop Vocal Album,Ariana Grande,thank u next,False,M
2019,Best Pop Vocal Album,Ed Sheeran,No.6 Collaborations Project,False,H
2019,Best Pop Vocal Album,Taylor Swift,Lover,False,M
2018,Best Pop Vocal Album,Kelly Clarkson,Meaning Of Life,False,M
2018,Best Pop Vocal Album,P!nk,Beautiful Trauma,False,M
2018,Best Pop Vocal Album,Taylor Swift,Reputation,False,M
2018,Best Pop Vocal Album,Ariana Grande,Sweetener,True,M
2018,Best Pop Vocal Album,Shawn Mendes,Shawn Mendes,False,H
2018,Best Pop Vocal Album,Camila Cabello,Camila,False,M
2017,Best Pop Vocal Album,Ed Sheeran,� (Divide),True,H
2017,Best Pop Vocal Album,Lady Gaga,Joanne,False,M
2017,Best Pop Vocal Album,Kesha,Rainbow,False,M
2017,Best Pop Vocal Album,Imagine Dragons,Evolve,False,H
2017,Best Pop Vocal Album,Lana del Rey,Lust For Life,False,M
2017,Best Pop Vocal Album,Coldplay,Kaleidoscope EP,False,H
2016,Best Pop Vocal Album,Justin Bieber,Purpose,False,H
2016,Best Pop Vocal Album,Ariana Grande,Dangerous Woman,False,M
2016,Best Pop Vocal Album,Demi Lovato,Confident,False,M
2016,Best Pop Vocal Album,SIA,This Is Acting,False,M
2016,Best Pop Vocal Album,Adele,25,True,M
2015,Best Pop Vocal Album,Kelly Clarkson,Piece By Piece,False,M
2015,Best Pop Vocal Album,Florence & The Machine,How Big How Blue How Beautiful,False,M
2015,Best Pop Vocal Album,Mark Ronson,Uptown Special,False,H
2015,Best Pop Vocal Album,James Taylor,Before This World,False,H
2015,Best Pop Vocal Album,Taylor Swift,1989,True,M
2014,Best Pop Vocal Album,Coldplay,Ghost Stories,False,H
2014,Best Pop Vocal Album,Miley Cyrus,Bangerz,False,M
2014,Best Pop Vocal Album,Ariana Grande,My Everything,False,M
2014,Best Pop Vocal Album,Katy Perry,Prism,False,M
2014,Best Pop Vocal Album,Ed Sheeran,X,False,H
2014,Best Pop Vocal Album,Sam Smith,In The Lonely Hour,True,H
2013,Best Pop Vocal Album,Robin Thicke,Blurred Lines,False,H
2013,Best Pop Vocal Album,Lorde,Pure Heroine,False,M
2013,Best Pop Vocal Album,Lana del Rey,Paradise,False,M
2013,Best Pop Vocal Album,Bruno Mars,Unorthodox Jukebox,True,H
2013,Best Pop Vocal Album,Justin Timberlake,The 20/20 Experience - The Complete Experience,False,H
2012,Best Pop Vocal Album,FUN,Some Nights,False,H
2012,Best Pop Vocal Album,Kelly Clarkson,Stronger,True,M
2012,Best Pop Vocal Album,Florence & The Machine,Ceremonials,False,M
2012,Best Pop Vocal Album,Maroon 5,Overexposed,False,H
2012,Best Pop Vocal Album,P!nk,The Truth About Love,False,M
2011,Pop Vocal Album,Bruno Mars,Doo-Wops & Hooligans,False,H
2011,Pop Vocal Album,Rihanna,Loud,False,M
2011,Pop Vocal Album,CeeLo Green,The Lady Killer,False,H
2011,Pop Vocal Album,Lady Gaga,Born This Way,False,M
2011,Pop Vocal Album,Adele,21,True,M
2010,Pop Vocal Album,John Mayer,Battle Studies,False,H
2010,Pop Vocal Album,Susan Boyle,I Dreamed A Dream,False,M
2010,Pop Vocal Album,Justin Bieber,My World 2.0,False,H
2010,Pop Vocal Album,Katy Perry,Teenage Dream,False,M
2010,Pop Vocal Album,Lady Gaga,The Fame Monster,True,M
2009,Best Pop Vocal Album,Mary J. Blige,Breakthrough,False,M
2009,Best Pop Vocal Album,Kelly Clarkson,All I Ever Wanted,False,M
