Año;Categoría;Artista;Disco o canción;Ganador;Género del artista/banda
2024;Best Rap Album;Eminem;The Death Of Slim Shady (Coup De Grâce);False;H
2024;Best Rap Album;Future & Metro Booming;We Don't Trust You;False;H
2024;Best Rap Album;J. Cole;Might Delete Later;False;H
2024;Best Rap Album;Common & Pete Rock;The Auditorium, Vol. 1;False;H
2024;Best Rap Album;Doechii;Alligator Bites Never Heal;True;M
2023;Best Rap Album;Drake & 21 savage;Her Loss;False;H
2023;Best Rap Album;Metro Booming;HEROES & VILLIANS;False;H
2023;Best Rap Album;Nas;King's Disease III;False;H
2023;Best Rap Album;Travis Scott;UTOPIA;False;H
2023;Best Rap Album;Killer Mike;MICHAEL;True;H
2022;Best Rap Album;Kendrick Lamar;Mr. Morale & The Big Steppers;True;H
2022;Best Rap Album;Pusha T;It's Almost Dry;False;H
2022;Best Rap Album;Jack Harlow;Come Home The Kids Miss You;False;H
2022;Best Rap Album;Future;I NEVER LIKED YOU;False;H
2022;Best Rap Album;DJ Khaled;GOD DID;False;H
2021;Best Rap Album;Mas;King's Disease II;False;H
2021;Best Rap Album;J. Cole;The Off-Season;False;H
2021;Best Rap Album;Tyler, The Creator;Call Me If You Get Lost;True;H
2021;Best Rap Album;Kanye West;Donda;False;H
2020;Best Rap Album;Royce Da 5'9'';The Allegory;False;H
2020;Best Rap Album;Nas;King’s Disease;True;H
2020;Best Rap Album;D Smoke;Black Habits;False;H
2020;Best Rap Album;Jay Electronica;A Written Testimony;False;H
2020;Best Rap Album;Freddie Gibbs & The Alchemist;Alfredo;False;H
2019;Best Rap Album;Cordae;The Lost Boy;False;H
2019;Best Rap Album;Tyler, The Creator;Igor;True;H
2019;Best Rap Album;Dreamville;Revenge Of The Dreamers III;False;H
2019;Best Rap Album;Meek Mill;Championships;False;H
2019;Best Rap Album;21 Savage;I Am > I Was;False;H
2018;Best Rap Album;Mac Miller;Swimming;False;H
2018;Best Rap Album;Nipsey Hussle;Victory Lap;False;H
2018;Best Rap Album;Pusha T;Daytona;False;H
2018;Best Rap Album;Travis Scott;Astroworld;False;H
2018;Best Rap Album;Cardi B;Invasion Of Privacy;True;M
2017;Best Rap Album;Kendrick Lamar;DAMN.;True;H
2017;Best Rap Album;Tyler, The Creator;Flower Boy;False;H
2017;Best Rap Album;Rapsody;Laila's Wisdom;False;M
2017;Best Rap Album;Migos;Culture;False;H
2017;Best Rap Album;Jay-Z;4:44;False;H
2016;Best Rap Album;De La Soul;And The Anonymous Nobody;False;H
2016;Best Rap Album;DJ Khaled;Major Key;False;H
2016;Best Rap Album;Drake;Views;False;H
2016;Best Rap Album;Chance the Rapper;Coloring Book;True;H
2016;Best Rap Album;ScHoolboy Q;Blank Face LP;False;H
