A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del artista/banda
2024,Best Rock Album,The Black Crowes,Happiness Bastards,False,H
2024,Best Rock Album,Fontaines D.C.,Romance,False,H
2024,Best Rock Album,Green Day,Saviors,False,H
2024,Best Rock Album,Idles,TANGK,False,H
2024,Best Rock Album,Pearl Jam,Dark Matter,False,H
2024,Best Rock Album,Jack White,No Name,False,H
2024,Best Rock Album,The Rolling Stones,Hackney Diamonds,True,H
2023,Best Rock Album,Queens Of The Stone Age,In Times New Roman...,False,H
2023,Best Rock Album,Paramore,This Is Why,True,MIXTO
2023,Best Rock Album,Foo Fighters,But Here We Are,False,H
2023,Best Rock Album,Greta Van Fleet,Starcatcher,False,H
2023,Best Rock Album,Metallica,72 Seasons,False,H
2022,Best Rock Album,Elvis Costello & The Imposters,The Boy Named If,False,H
2022,Best Rock Album,The Black Keys,Dropout Boogie,False,H
2022,Best Rock Album,Ozzy Osbourne,Patient Number 9,True,H
2022,Best Rock Album,Spoon,Lucifer On The Sofa,False,H
2022,Best Rock Album,Machine Gun Kelly,Mainstream Sellout,False,H
2022,Best Rock Album,Idles,Crawler,False,H
2021,Best Rock Album,Foo Fighters,Medicine At Midnight,True,H
2021,Best Rock Album,Black Pumas,Capitol Cuts - Live From Studio A,False,H
2021,Best Rock Album,AC/DC,Power Up,False,H
2021,Best Rock Album,Paul McCartney,McCartney III,False,H
2021,Best Rock Album,Chris Cornell,No One Sings Like You Anymore Vol. 1,False,H
2020,Best Rock Album,Sturgill Simpson,Sound & Fury,False,H
2020,Best Rock Album,The Strokes,The New Abnormal,True,H
2020,Best Rock Album,Fontaines D.C.,A Hero's Death,False,H
2020,Best Rock Album,Michael Kiwanuka,Kiwanuka,False,H
2020,Best Rock Album,Grace Potter,Daylight,False,M
2019,Best Rock Album,I Prevail,Trauma,False,H
2019,Best Rock Album,Rival Sons,Feral Roots,False,H
2019,Best Rock Album,Cage The Elephant,Social Cues,True,H
2019,Best Rock Album,The Cranberries,In The End,False,MIXTO
2019,Best Rock Album,Bring Me the Horizon,amo,False,H
2018,Best Rock Album,Alice in Chains,Rainier Fog,False,H
2018,Best Rock Album,Fall Out Boy,M A  N   I    A,False,H
2018,Best Rock Album,Ghost,Prequelle,False,H
2018,Best Rock Album,Weezer,Pacific Daydream,False,H
2018,Best Rock Album,Greta Van Fleet,From The Fires,True,H
2017,Best Rock Album,The War on Drugs,A Deeper Understanding,True,H
2017,Best Rock Album,Queens Of The Stone Age,Villains,False,H
2017,Best Rock Album,Nothing More,The Stories We Tell Ourselves,False,H
2017,Best Rock Album,Metallica,Hardwired...To Self-Destruct,False,H
2017,Best Rock Album,Mastodon,Emperor Of Sand,False,H
2016,Best Rock Album,Panic! At the Disco,Death Of A Bachelor,False,H
2016,Best Rock Album,Weezer,Weezer,False,H
2016,Best Rock Album,Cage The Elephant,Tell Me I'm Pretty,True,H
2016,Best Rock Album,Blink-182,California,False,H
2016,Best Rock Album,Gojira,Magma,False,H
2015,Best Rock Album,Slipknot,.5: The Gray Chapter,False,H
2015,Best Rock Album,Muse,Drones,True,H
2015,Best Rock Album,James Bay,Chaos And The Calm,False,H
2015,Best Rock Album,Death Cab for Cutie,Kintsugi,False,H
2015,Best Rock Album,Highly Suspect,Mister Asylum,False,H
2014,Best Rock Album,U2,Songs Of Innocence,False,H
2014,Best Rock Album,Beck,Morning Phase,True,H
2014,Best Rock Album,Ryan Adams,Ryan Adams,False,H
2014,Best Rock Album,The Black Keys,Turn Blue,False,H
2014,Best Rock Album,Tom Petty and the Heartbreakers,Hypnotic Eye,False,H
2013,Best Rock Album,Kings of Leon,Mechanical Bull,False,H
2013,Best Rock Album,David Bowie,The Next Day,False,H
2013,Best Rock Album,Black Sabbath,13,False,H
2013,Best Rock Album,Queens Of The Stone Age,...Like Clockwork,False,H
2013,Best Rock Album,Led Zeppelin,Celebration Day,True,H
2013,Best Rock Album,Neil Young with Crazy Horse,Psychedelic Pill,False,H
2012,Best Rock Album,Muse,The 2nd Law,False,H
2012,Best Rock Album,Bruce Springsteen,Wrecking Ball,False,H
2012,Best Rock Album,Jack White,Blunderbuss,False,H
2012,Best Rock Album,The Black Keys,El Camino,True,H
2012,Best Rock Album,Coldplay,Mylo Xyloto,False,H
2011,Rock Album,Jeff Beck,Rock 'N' Roll Party Honoring Les Paul,False,H
2011,Rock Album,Kings of Leon,Come Around Sundown,False,H
2011,Rock Album,Red Hot Chili Peppers,I'm With You,False,H
2011,Rock Album,Wilco,The Whole Love,False,H
2011,Rock Album,Foo Fighters,Wasting Light,True,H
2010,Rock Album,Jeff Beck,Emotion & Commotion,False,H
2010,Rock Album,Pearl Jam,Backspacer,False,H
2010,Rock Album,Tom Petty and the Heartbreakers,Mojo,False,H
2010,Rock Album,Neil Young,Le Noise,False,H
