A�o,Categor�a,Artista,Disco o canci�n,Ganador,G�nero del arista/banda,G�nero disco
2024,Album Of The Year,Charli xcx,BRAT,False,M,Dance Pop
2024,Album Of The Year,Jacob Collier,Djesse Vol. 4,False,H,Jazz
2024,Album Of The Year,Billie Eilish,HIT ME HARD AND SOFT,False,M,Pop
2024,Album Of The Year,Chappell Roan,The Rise And Fall Of A Midwest Princess,False,M,Pop
2024,Album Of The Year,Taylor Swift,THE TORTURED POETS DEPARTMENT,False,M,Pop
2024,Album Of The Year,Beyonc�,COWBOY CARTER,True,M,Country Pop
2024,Album Of The Year,Andr� 3000,New Blue Sun,False,H,Jazz
2024,Album Of The Year,Sabrina Carpenter,Short n' Sweet,False,M,Pop
2023,Album Of The Year,Jon Batiste,World Music Radio,False,H,R&B
2023,Album Of The Year,boygenius,the record,False,M,Alternativo
2023,Album Of The Year,Miley Cyrus,Endless Summer Vacation,False,M,Pop
2023,Album Of The Year,Lana del Rey,Did You Know That There's A Tunnel Under Ocean Blvd,False,M,Alternativo
2023,Album Of The Year,Janelle Mon�e,The Age Of Pleasure,False,M,Afrobeat
2023,Album Of The Year,Olivia Rodrigo,GUTS,False,M,Pop
2023,Album Of The Year,SZA,SOS,False,M,R&B
2023,Album Of The Year,Taylor Swift,Midnights,True,M,Pop
2022,Album Of The Year,Coldplay,Music Of The Spheres,False,H,Pop
2022,Album Of The Year,Harry Styles,Harry's House,True,H,Pop
2022,Album Of The Year,Lizzo,Special,False,M,Pop
2022,Album Of The Year,Kendrick Lamar,Mr. Morale & The Big Steppers,False,H,Rap
2022,Album Of The Year,Brandi Carlile,In These Silent Days,False,M,Americana
2022,Album Of The Year,Mary J. Blige,Good Morning Gorgeous (Deluxe),False,M,R&B
2022,Album Of The Year,Beyonc�,RENAISSANCE,False,M,Dance Pop
2022,Album Of The Year,Bad Bunny,Un Verano Sin Ti,False,H,Reggeat�n
2022,Album Of The Year,Adele,30,False,M,Pop
2022,Album Of The Year,ABBA,Voyage,False,MIXTO,Disco
2021,Album Of The Year,Billie Eilish,Happier Than Ever,False,M,Pop
2021,Album Of The Year,H.E.R.,Back Of My Mind,False,M,R&B
2021,Album Of The Year,Lady Gaga,Love For Sale,False,M,Jazz
2021,Album Of The Year,Kanye West,Donda,False,H,Rap
2021,Album Of The Year,Lil Nas X,Montero,False,H,Pop
2021,Album Of The Year,Olivia Rodrigo,Sour,False,M,Pop
2021,Album Of The Year,Taylor Swift,Evermore,False,M,Pop
2021,Album Of The Year,Doja Cat,Planet Her (Deluxe),False,M,Pop
2021,Album Of The Year,Justin Bieber,Justice (Triple Chucks Deluxe),False,H,Pop
2021,Album Of The Year,Jon Batiste,We Are,True,H,R&B
2020,Album Of The Year,Post Malone,Hollywood's Bleeding,False,H,Rap
2020,Album Of The Year,Jacob Collier,Djesse Vol.3,False,H,Jazz
2020,Album Of The Year,HAIM,Women In Music Pt. III,False,M,Rock
2020,Album Of The Year,Dua Lipa,Future Nostalgia,False,M,Pop
2020,Album Of The Year,Jhen� Aiko,Chilombo,False,M,R&B
2020,Album Of The Year,Black Pumas,Black Pumas (Deluxe Edition),False,H,Soul
2020,Album Of The Year,Coldplay,Everyday Life,False,H,Pop
2020,Album Of The Year,Taylor Swift,Folklore,True,M,Alternativo
2019,Album Of The Year,Ariana Grande,thank u next,False,M,Pop
2019,Album Of The Year,Lana Del Rey,Norman F***ing Rockwell!,False,M,Alternativo
2019,Album Of The Year,Billie Eilish,When We All Fall Asleep Where Do We Go?,True,M,Pop
2019,Album Of The Year,H.E.R.,I Used To Know Her,False,M,R&B
2019,Album Of The Year,Lil Nas X,7,False,H,Pop
2019,Album Of The Year,Lizzo,Cuz I Love You (Deluxe),False,M,Pop
2019,Album Of The Year,Vampire Weekend,Father Of The Bride,False,H,Alternativo
2019,Album Of The Year,Bon Iver,I I,False,H,Alternativo
2018,Album Of The Year,H.E.R.,H.E.R.,False,M,R&B
2018,Album Of The Year,Janelle Mon�e,Dirty Computer,False,M,R&B
2018,Album Of The Year,Kacey Musgraves,Golden Hour,True,M,Country
2018,Album Of The Year,Kendrick Lamar,Black Panther: The Album Music From And Inspired By,False,H,Rap
2018,Album Of The Year,Cardi B,Invasion Of Privacy,False,M,Rap
2018,Album Of The Year,Brandi Carlile,By The Way I Forgive You,False,M,Americana
2018,Album Of The Year,Drake,Scorpion,False,H,Rap
2018,Album Of The Year,Post Malone,Beerbongs & Bentleys,False,H,Rap
2017,Album Of The Year,Bruno Mars,24K Magic,True,H,R&B
2017,Album Of The Year,Lorde,Melodrama,False,M,Pop
2017,Album Of The Year,Kendrick Lamar,DAMN.,False,H,Rap
2017,Album Of The Year,Jay - Z,4:44,False,H,Rap
2017,Album Of The Year,Childish Gambino,Awaken My Love!,False,H,R&B
2016,Album Of The Year,Beyonce,Lemonade,False,M,R&B
2016,Album Of The Year,Adele,25,True,M,Pop
2016,Album Of The Year,Justin Bieber,Purpose,False,H,Pop
2016,Album Of The Year,Drake,Views,False,H,Rap
2016,Album Of The Year,Sturgill Simpson,A Sailor's Guide To Earth,False,H,Country
2015,Album Of The Year,Alabama Shakes,Sound & Color,False,MIXTO,Alternativo
2015,Album Of The Year,Kendrick Lamar,To Pimp A Butterfly,False,H,Rap
2015,Album Of The Year,Chris Stapleton,Traveller,False,H,Country
2015,Album Of The Year,The Weeknd,Beauty Behind The Madness,False,H,R&B
2015,Album Of The Year,Taylor Swift,1989,True,M,Pop
2014,Album Of The Year,Beyonc�,Beyonc�,False,M,R&B
2014,Album Of The Year,Beck,Morning Phase,True,H,Alternativo
2014,Album Of The Year,Sam Smith,In The Lonely Hour,False,H,Pop
2014,Album Of The Year,Pharrell Williams,Girl,False,H,R&B
2014,Album Of The Year,Ed Sheeran,X,False,H,Pop
2013,Album Of The Year,Macklemore,The Heist,False,H,Rap
2013,Album Of The Year,Kendrick Lamar,Good Kid M.A.A.D City,False,H,Rap
2013,Album Of The Year,Sara Bareilles,The Blessed Unrest,False,M,Pop Rock
2013,Album Of The Year,Daft Punk,Random Access Memories,True,H,Disco
2013,Album Of The Year,Taylor Swift,Red,False,M,Pop
2012,Album Of The Year,The Black Keys,El Camino,False,H,Rock
2012,Album Of The Year,Fun.,Some Nights,False,H,Pop
2012,Album Of The Year,Frank Ocean,Channel Orange,False,H,R&B
2012,Album Of The Year,Jack White,Blunderbuss,False,H,Rock
2012,Album Of The Year,Mumford & Sons,Babel,True,H,Folk
2011,Album Of The Year,Foo Fighters,Wasting Light,False,H,Rock
2011,Album Of The Year,Lady Gaga,Born This Way,False,M,Pop
2011,Album Of The Year,Bruno Mars,Doo-Wops & Hooligans,False,H,Pop
2011,Album Of The Year,Rihanna,Loud,False,M,Pop
2011,Album Of The Year,Adele,21,True,M,Pop
2010,Album Of The Year,Eminem,Recovery,False,H,Rap
2010,Album Of The Year,Arcade Fire,The Suburbs,True,MIXTO,Rock
2010,Album Of The Year,Lady A,Need You Now,False,MIXTO,Country
2010,Album Of The Year,Katy Perry,Teenage Dream,False,M,Pop
2010,Album Of The Year,Lady Gaga,The Fame Monster,False,M,Pop
2009,Album Of The Year,Lady Gaga,The Fame,False,M,Pop
2009,Album Of The Year,Dave Matthews Band,Big Whiskey And The Groogrux King,False,H,Country
2009,Album Of The Year,Taylor Swift,Fearless,True,M,Country Pop
2009,Album Of The Year,Beyonc�,I Am... Sasha Fierce,False,M,Pop
2009,Album Of The Year,Black Eyed Peas,The E.N.D.,False,MIXTO,Pop
2008,Album Of The Year,Radiohead,In Rainbows,False,H,Rock
2008,Album Of The Year,Alison Krauss & Robert Plant,Raising Sand,True,MIXTO,Country
2008,Album Of The Year,Coldplay,Viva La Vida Or Death And All His Friends,False,H,Rock
2008,Album Of The Year,Lil Wayne,Tha Carter III,False,H,Rap
2008,Album Of The Year,Ne-Yo,Year Of The Gentleman,False,H,R&B
2007,Album Of The Year,Kanye West,Graduation,False,H,Rap
2007,Album Of The Year,Amy Winehouse,Back To Black,False,M,R&B
2007,Album Of The Year,Herbie Hancock,River: The Joni Letters,True,H,Jazz
2007,Album Of The Year,Foo Fighters,Echoes Silence Patience & Grace,False,H,Rock
2007,Album Of The Year,Vince Gill,These Days,False,H,Country
2006,Album Of The Year,The Chicks,Taking The Long Way,True,M,Country
2006,Album Of The Year,Justin Timberlake,FutureSex/LoveSounds,False,H,Pop
